BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201105,21,1830,201105,21,1833,52007,309939,MISSOURI,29,2011,May,Tornado,C,3,ANDREW,EAX,21-MAY-11 18:30:00,CST-6,21-MAY-11 18:33:00,0,0,0,0,7.00K,0.00K,Storm Chaser,,,,,EF0,1.22,60.0,,,,,3.82,ESE,FILLMORE,3.83,ESE,FILLMORE,40.0019,-94.9178,40.0183,-94.9092,"An upper level disturbance over northern Kansas, lifted into Nebraska, during the afternoon and evening hours of May 21, 2011. This disturbance, combined with moisture convergence and diurnal heating, allowed thunderstorms to develop. The thunderstorms moved northeast into northwestern Missouri. There were numerous reports of hail and one report of a tornado.","At 1830CST, an EF0 tornado touched down nearly 4 miles southeast of Fillmore. The tornado moved around a mile northeast, before lifting at 1833CST, about 4 miles east of Fillmore. Minor damage was reported to three homes. Tree damage was also reported.",CSV
201104,16,1320,201104,16,1323,50328,302294,VIRGINIA,51,2011,April,Tornado,C,15,AUGUSTA,LWX,16-APR-11 13:20:00,EST-5,16-APR-11 13:23:00,0,0,0,0,2.20M,,NWS Storm Survey,,,,,EF0,3.81,200.0,,,,,0.54,ESE,WILDA,2.33,N,STUARTS DRAFT,38.0182,-79.0703,38.0637,-79.0307,Strong low pressure over the Midwest remained cutoff from jet stream on the 16th. The warm front associated with this system passed through during the morning. Warm and moist southerly winds behind the front provided moderate amounts of instability. The instability combined with forcing from the low for showers and thunderstorms to develop. ||There was enough instability along with strong winds aloft for some thunderstorms to become severe.,"A tornado tracked just west of Stuarts Draft. The tornado produced damage to thirty-seven structures and also downed numerous trees and powerlines. ||Numerous trees were toppled and wires were down along Old White Hll Road. A large tree fell onto a house off White Hall Road. A large storage shed was destroyed and multiple hardwood trees were topped ten to fifteen feet up near Twin Mill and Churchmans Mill Roads. A farm building along Tinkling Spring Road and Yoder Circle lost several outbuildings and trees. ||Preliminary damage estimates from Augusty County Emergency Officials listed storm damage to twelve residences, three businesses, fifteen garage sheds, two mobile strutures and five barns. Preliminary damage cost was estimated at over 2.2 million dollars.",CSV
201105,24,2144,201105,24,2202,51966,312972,OKLAHOMA,40,2011,May,Tornado,C,79,LE FLORE,TSA,24-MAY-11 21:44:00,CST-6,24-MAY-11 22:02:00,0,0,0,0,100.00K,0.00K,NWS Storm Survey,,,,,EF2,12.0,1760.0,,,,,2.21,SE,REICHERT,1.87,NE,HOWE,34.8256,-94.7248,34.9673,-94.6047,"Severe thunderstorms developed along a dry line over central Oklahoma during the afternoon hours. Very unstable air and strong wind shear east of the dry line supported supercell thunderstorm structures, which persisted as the storms moved into eastern Oklahoma during the evening hours. These severe storms produced tornadoes, large hail to golfball size, and very strong damaging downburst wind across much of eastern Oklahoma.","A tornado destroyed a mobile home, damaged several permanent homes, snapped dozens of power poles, and snapped or uprooted numerous large trees. Maximum estimated wind in the tornado based on this damage was about 115 mph.",CSV
201105,30,1520,201105,30,1521,50437,317144,NEBRASKA,31,2011,May,Tornado,C,149,ROCK,LBF,30-MAY-11 15:20:00,CST-6,30-MAY-11 15:21:00,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EF0,0.02,20.0,,,,,3.81,SW,ROSE,3.79,SW,ROSE,42.1599,-99.521,42.1602,-99.5209,"A powerful low pressure system moved across western and north central Nebraska on Memorial Day. Thunderstorms developed along a cold front extending across central Nebraska. The storms tracked quickly northeast to produce hail up to 4 inches in diameter, damaging winds and several tornadoes.",Brief tornado touched down in the sandhills 100 to 300 yards east of Highway 183.,CSV
201105,30,1752,201105,30,1753,50437,317431,NEBRASKA,31,2011,May,Tornado,C,89,HOLT,LBF,30-MAY-11 17:52:00,CST-6,30-MAY-11 17:53:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,EF0,0.01,20.0,,,,,3.7,NE,O NEILL,3.7,NE,O NEILL,42.4675,-98.5984,42.4676,-98.5983,"A powerful low pressure system moved across western and north central Nebraska on Memorial Day. Thunderstorms developed along a cold front extending across central Nebraska. The storms tracked quickly northeast to produce hail up to 4 inches in diameter, damaging winds and several tornadoes.",Law enforcement confirmed a tornado on the eastern edge of O'Neill. In addition there was a lot of dust picked up over an open corn field by the rear flank downdraft that made it difficult to view. The tornado was briefly on the ground with no damage.,CSV
201104,28,1520,201104,28,1522,49724,292057,NORTH CAROLINA,37,2011,April,Tornado,C,49,CRAVEN,MHX,28-APR-11 15:20:00,EST-5,28-APR-11 15:22:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,0.06,50.0,,,,,1.57,E,FT BARNWELL,1.63,E,FT BARNWELL,35.2993,-77.3222,35.2995,-77.3212,"A strong cold front approached eastern North Carolina during the afternoon and evening of April 28th. Scattered thunderstorms developed in the warm and unstable air ahead of the front during the afternoon. Some of these storms became severe and produced large hail, damaging winds and a few tornadoes.",Brief tornado touchdown along Bell Town Road east of Fort Barnwell. Several trees snapped and blown down in different directions. Tornado was an EF0 with winds estimated at 70 mph.,CSV
201104,28,1530,201104,28,1531,49724,292058,NORTH CAROLINA,37,2011,April,Tornado,C,117,MARTIN,MHX,28-APR-11 15:30:00,EST-5,28-APR-11 15:31:00,0,0,0,0,0.00K,0.00K,Public,,,,,EF0,0.07,30.0,,,,,1.29,SSW,DARDEN,1.22,SSW,DARDEN,35.814,-76.832,35.8148,-76.8311,"A strong cold front approached eastern North Carolina during the afternoon and evening of April 28th. Scattered thunderstorms developed in the warm and unstable air ahead of the front during the afternoon. Some of these storms became severe and produced large hail, damaging winds and a few tornadoes.",A funnel cloud was observed east of Jamesville. The funnel eventually touched down in a farm field as a weak EF0 tornado then quickly lifted back up causing no damage.,CSV
201104,28,1623,201104,28,1627,49724,292059,NORTH CAROLINA,37,2011,April,Tornado,C,13,BEAUFORT,MHX,28-APR-11 16:23:00,EST-5,28-APR-11 16:27:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,0.31,30.0,,,,,0.66,NNW,PUNGO,0.87,N,PUNGO,35.679,-76.634,35.6826,-76.6307,"A strong cold front approached eastern North Carolina during the afternoon and evening of April 28th. Scattered thunderstorms developed in the warm and unstable air ahead of the front during the afternoon. Some of these storms became severe and produced large hail, damaging winds and a few tornadoes.",Tornado produced sporadic damage to trees along Candyfield Road and Pike Road. One large hard wood tree was snapped at the base.,CSV
201104,27,217,201104,27,226,50307,301496,MISSISSIPPI,28,2011,April,Tornado,C,95,MONROE,MEG,27-APR-11 02:17:00,CST-6,27-APR-11 02:26:00,3,0,0,0,750.00K,0.00K,NWS Storm Survey,,,,,EF3,9.12,1760.0,,,,,5.22,NNW,GIBSON,1.31,N,WREN,33.9036,-88.7203,33.9889,-88.5987,"A stationary front remained draped across Southern Missouri into Western Kentucky from April 24th, 2011 into April 25th, 2011. A very warm and unstable atmosphere was in place across the Mid-South ahead of the front. A low pressure system developed along the front and interacted with the unstable environment which helped produce several rounds of severe storms into the evening of April 26th, 2011. As a result of the severe storms, the front sank south during the early morning hours of April 27th, 2011 as a secondary low pressure system developed along the front. As a result, another round of severe storms fired during the afternoon hours ahead of the low pressure center. Additional severe storms fired along the trailing cold front. Tornadoes, large hail, damaging winds, flash flooding occurred as a result of the severe storms.",An EF-1 tornado moved northeast out of Chickasaw County into Monroe County. At least 31 homes and businesses sustained minor damage. Three injuries occurred in the Wren and New Wren area. Numerous trees were uprooted or snapped along the path. Power lines were also knocked down as well.,CSV
201106,16,1652,201106,16,1655,54840,329492,KANSAS,20,2011,June,Tornado,C,135,NESS,DDC,16-JUN-11 16:52:00,CST-6,16-JUN-11 16:55:00,0,0,0,0,22.00K,,Emergency Manager,,,,,EF1,1.02,75.0,,,,,7.68,S,LAIRD,6.98,S,LAIRD,38.34,-100.07,38.349,-100.055,A slow moving upper level short wave trough helped to produced scattered thunderstorms in the evening.,There was minor damage to a home and moderate damage to a large metal outbuilding.,CSV
201104,26,2052,201104,26,2056,49622,293858,LOUISIANA,22,2011,April,Tornado,C,73,OUACHITA,SHV,26-APR-11 20:52:00,CST-6,26-APR-11 20:56:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF0,4.08,70.0,,,,,0.57,NNE,INDIAN VLG,0.59,SE,CALHOUN,32.4772,-92.4154,32.5152,-92.3617,"A very volatile atmosphere developed during the late afternoon...evening and overnight hours of April 26th across the Four State Region. An area of low pressure moved from the Texas Hill Country into Northeast Texas during the afternoon. Meanwhile, a warm front had moved northward from central Louisiana and was oriented west to east near the Arkansas/Louisiana state line. A dry line had moved just east of the I-35 corridor of North Central Texas and a strong cold front trailed the dry line. Very strong speed and directional shear was noted in the low and mid levels of the atmosphere such that supercells developed. Many of these produced tornadoes across the region. Other storms produced strong straight line wind gusts with bowing segments and large hail.","This tornado is a continuation of the tornado that first touched down in northeast Jackson Parish.  The tornado continued northeastward along Highway 144 in western Ouachita Parish snapping several very large trees just northeast of the Indian Village community.  The tornado continued to knock over trees, ripping the tops off of trees, and breaking large branches out of trees along Highway 144 until it dissipated just west of the city of Calhoun just north of Highway 80. Maximum winds were estimated at 80-85 mph.",CSV
201104,26,2133,201104,26,2139,49622,293859,LOUISIANA,22,2011,April,Tornado,C,73,OUACHITA,SHV,26-APR-11 21:33:00,CST-6,26-APR-11 21:39:00,0,0,0,0,0.20K,0.00K,NWS Storm Survey,,,,,EF0,1.88,50.0,,,,,0.64,NNE,FRIZZELL,1.31,N,SWARTZ,32.5782,-91.9948,32.5987,-91.9736,"A very volatile atmosphere developed during the late afternoon...evening and overnight hours of April 26th across the Four State Region. An area of low pressure moved from the Texas Hill Country into Northeast Texas during the afternoon. Meanwhile, a warm front had moved northward from central Louisiana and was oriented west to east near the Arkansas/Louisiana state line. A dry line had moved just east of the I-35 corridor of North Central Texas and a strong cold front trailed the dry line. Very strong speed and directional shear was noted in the low and mid levels of the atmosphere such that supercells developed. Many of these produced tornadoes across the region. Other storms produced strong straight line wind gusts with bowing segments and large hail.",The tornado initially touched down just southwest of the intersection of Highway's 594 and 139 knocking over several trees. It continued to the north-northeast along Highway 139 where it caused most of its damage off of Trichel Lane and Vinwood Road where large trees were uprooted and large branches broken off of trees.  The tornado dissipated just north of the intersection of Highway 139 and Stubbs Vinson Road where it finally damaged the roof of a home tearing several shingles off. Maximum winds were estimated at 70-75 mph.,CSV
201106,18,1300,201106,18,1302,51279,304277,NEBRASKA,31,2011,June,Tornado,C,157,SCOTTS BLUFF,CYS,18-JUN-11 13:00:00,MST-7,18-JUN-11 13:02:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,EF0,0.02,25.0,,,,,3.0,W,MITCHELL,3.0,W,MITCHELL,41.95,-103.8584,41.95,-103.8584,Storms developed over the panhandle during the afternoon and produced a brief tornado.,Law enforcement reported a tornado on the ground moving to the northeast.,CSV
201105,14,1842,201105,14,1843,50731,299348,OHIO,39,2011,May,Tornado,C,109,MIAMI,ILN,14-MAY-11 18:42:00,EST-5,14-MAY-11 18:43:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,EF0,0.05,10.0,,,,,0.78,WNW,PIQUA,0.76,WNW,PIQUA,40.153,-84.2442,40.1536,-84.2437,An approaching upper level low pressure system brought a band of showers and thunderstorms across central Ohio. Cold air associated with the low helped to produce very weak tornadoes with these storms.,A tornado briefly touched down. No damage occurred.,CSV
201105,24,2307,201105,24,2315,51969,313010,ARKANSAS,5,2011,May,Tornado,C,47,FRANKLIN,TSA,24-MAY-11 23:07:00,CST-6,24-MAY-11 23:15:00,10,0,2,0,2.00M,0.00K,NWS Storm Survey,,,,,EF3,6.1,2200.0,LZK,AR,71.0,JOHNSON,0.48,NNE,DENNING,2.52,N,ALIX,35.4065,-93.7968,35.456,-93.7074,"Severe thunderstorms developed along a dry line over central Oklahoma during the afternoon hours. Very unstable air and strong wind shear east of the dry line supported supercell thunderstorm structures, which persisted as the storms moved into northwestern Arkansas late in the evening. These severe storms produced tornadoes, large hail, and damaging downburst wind across portions of northwestern Arkansas. One of the tornadoes was especially intense, resulting in considerable damage to several towns as well as three fatalities in Franklin County.","This is the fifth of six segments of this tornado. The tornado crossed the Arkansas River, moving back into Franklin County from Logan County. The tornado crossed Carbon Plant Road and W Creek Road, destroying a mobile home and killing another person. It continued northeast across the town of Denning where it destroyed numerous permanent homes and mobile homes. At least 10 injuries occurred in Denning as the mile-wide tornado moved through the town. Several of these injuries were serious or critical and one of the victims died from her injuries on June 14th. She was in one of the many mobile homes that were destroyed in town. Ten 100-foot metal power poles were bent over at the ground by the tornado and many other power poles were snapped throughout the Denning area. Many large trees were also snapped or uprooted. Maximum estimated wind speed in this segment of the tornado based on this damage was about 145 mph.||The tornado moved northeast from Denning and crossed Highway 64, severely damaging the roof of a permanent home and snapping or uprooting numerous trees. The tornado continued into Johnson County, Arkansas.",CSV
201104,27,1806,201104,27,1807,50982,301573,MARYLAND,24,2011,April,Tornado,C,33,PRINCE GEORGE'S,LWX,27-APR-11 18:06:00,EST-5,27-APR-11 18:07:00,0,0,0,0,100.00K,,NWS Employee,,,,,EF0,0.39,75.0,,,,,0.56,WSW,FRIENDLY PG ARPK ARP,0.22,W,FRIENDLY PG ARPK ARP,38.746,-76.959,38.75,-76.954,High pressure remained over the western Atlantic while a strong cold front slowly tracked through the Midwest. A southerly flow pumped in copious amounts of moisture from the Atlantic and Gulf of Mexico. The trough of low pressure associated with the cold front provided enough cold air aloft for moderate instability to develop. The instability combined with an upper-level disturbance rotating around the trough to trigger showers and thunderstorms.||Low level winds changed rapidly in speed and direction with height causing isolated tornadoes to develop.,A brief tornado occurred at the Potomac Airfield. Six general aviation aircraft suffered minor to major damage. A Cessna 182 had its ti down lanes snapped and then was tossed 120 feet northeast across the taxiway. A Cessna 172 was lifted up and smashed nose first into the ground and a Cessna 335 skymaster was tossed about 25 feet and smashed along the ground.,CSV
201104,27,1816,201104,27,1817,50982,301576,MARYLAND,24,2011,April,Tornado,C,33,PRINCE GEORGE'S,LWX,27-APR-11 18:16:00,EST-5,27-APR-11 18:17:00,0,0,0,0,5.00K,,NWS Employee,,,,,EF0,0.39,100.0,,,,,0.7,S,ANDREWS MANOR,0.76,SE,ANDREWS MANOR,38.81,-76.902,38.813,-76.889,High pressure remained over the western Atlantic while a strong cold front slowly tracked through the Midwest. A southerly flow pumped in copious amounts of moisture from the Atlantic and Gulf of Mexico. The trough of low pressure associated with the cold front provided enough cold air aloft for moderate instability to develop. The instability combined with an upper-level disturbance rotating around the trough to trigger showers and thunderstorms.||Low level winds changed rapidly in speed and direction with height causing isolated tornadoes to develop.,Numerous trees were uprooted and snapped just southwest of the intersection of Auth Road and Allentown Road. The tornado also produced some roofing and siding damage.,CSV
